month,closed_loop,qr_tickets,ncmc,total_ridership,date,fy,mom_growth_pct,closed_loop_share_pct,qr_tickets_share_pct,ncmc_share_pct
2023-04,4377813,2339724,1973,6719510,2023-04-01,2023-24,,65.15,34.82,0.03
2023-05,4617409,2676546,5138,7299093,2023-05-01,2023-24,8.87,63.26,36.67,0.07
2023-06,4873031,2515727,5938,7394696,2023-06-01,2023-24,1.31,65.90,34.02,0.08
2023-07,5189442,2910875,154244,8254561,2023-07-01,2023-24,11.62,62.87,35.26,1.87
2023-08,5089362,3105583,395267,8590212,2023-08-01,2023-24,4.07,59.25,36.15,4.60
2023-09,4639304,3254175,543703,8437182,2023-09-01,2023-24,-1.78,54.99,38.57,6.44
2023-10,4477119,3420155,653161,8550435,2023-10-01,2023-24,1.34,52.36,40.00,7.64
2023-11,4059639,3233710,708351,8001700,2023-11-01,2023-24,-6.42,50.73,40.41,8.85
2023-12,3712884,3711580,698817,8123281,2023-12-01,2023-24,1.52,45.71,45.69,8.60
2024-01,3817160,3746808,902342,8466310,2024-01-01,2023-24,4.22,45.09,44.26,10.66
2024-02,3932344,3505644,1180126,8618114,2024-02-01,2023-24,1.80,45.63,40.68,13.69
2024-03,3824407,3462083,1395969,8682459,2024-03-01,2023-24,0.74,44.05,39.87,16.08
2024-04,3389863,3334498,1363351,8087712,2024-04-01,2024-25,-6.85,41.91,41.23,16.86
2024-05,3268680,3697776,1455164,8421620,2024-05-01,2024-25,4.13,38.81,43.91,17.28
2024-06,3167520,3705316,1561001,8433837,2024-06-01,2024-25,0.15,37.56,43.93,18.51
2024-07,3566434,3972106,1996479,9535019,2024-07-01,2024-25,13.07,37.40,41.66,20.94
2024-08,3364866,4106716,2081098,9552680,2024-08-01,2024-25,0.19,35.22,42.99,21.79
2024-09,3113865,4073640,2090678,9278183,2024-09-01,2024-25,-2.88,33.56,43.91,22.53
2024-10,2897855,4075666,2050699,9024220,2024-10-01,2024-25,-2.74,32.11,45.16,22.72
2024-11,2756837,3562463,2042192,8361492,2024-11-01,2024-25,-7.35,32.97,42.61,24.42
2024-12,2760660,3774277,2203456,8738393,2024-12-01,2024-25,4.51,31.59,43.19,25.22
2025-01,2388008,3780386,2530965,8699359,2025-01-01,2024-25,-0.45,27.45,43.46,29.09
2025-02,1487132,3756385,3422286,8665803,2025-02-01,2024-25,-0.39,17.16,43.35,39.49
2025-03,991621,3965992,4252456,9210069,2025-03-01,2024-25,6.28,10.77,43.06,46.17
2025-04,617424,3911883,4230281,8759588,2025-04-01,2025-26,-4.89,7.05,44.66,48.29
2025-05,587872,4233865,4087992,8909729,2025-05-01,2025-26,1.71,6.60,47.52,45.88
2025-06,610579,4205806,4403578,9221963,2025-06-01,2025-26,3.50,6.62,45.62,47.76
2025-07,652808,4651897,5164027,10468732,2025-07-01,2025-26,13.53,6.24,44.44,49.33
2025-08,225972,4798432,4871826,9896230,2025-08-01,2025-26,-5.47,2.28,48.49,49.23
2025-09,115761,4834104,5196904,10146769,2025-09-01,2025-26,2.53,1.14,47.64,51.22
2025-10,77241,4491334,4759171,9327746,2025-10-01,2025-26,-8.07,0.83,48.15,51.02
2025-11,60325,4377946,4848485,9286756,2025-11-01,2025-26,-0.44,0.65,47.14,52.21
2025-12,51828,4545701,4868978,9466507,2025-12-01,2025-26,1.94,0.55,48.02,51.43
2026-01,44660,4623635,4652834,9321129,2026-01-01,2025-26,-1.53,0.48,49.60,49.92
2026-02,38205,4668552,4911328,9618085,2026-02-01,2025-26,3.19,0.40,48.54,51.06
2026-03,33349,4860707,5290363,10184419,2026-03-01,2025-26,5.89,0.33,47.73,51.95
2026-04,25660,4433897,4518247,8977804,2026-04-01,2026-27,-11.84,0.29,49.39,50.33
2026-05,1863,4711455,4251729,8965047,2026-05-01,2026-27,-0.11,0.02,52.55,47.43
