stop_id,station_name,latitude,longitude,nearest_bus_stop_m,bus_stops_within_500m,nearest_bus_stop,nearest_bus_stop_id,metro_route_count,metro_trip_count,line,interchange_flag,network_role,route_coverage_score,first_mile_proximity_score,bus_stop_density_score,network_first_mile_screening_index,first_mile_band
CMRL_01,Wimco Nagar Depot,13.183971,80.308994,38.5,8,I T C,7639,1,32,Blue Line,0,Operational,0.5,0.956219596942321,0.5,65.2,Strong (<250m)
CMRL_02,Wimco Nagar,13.17929,80.307344,21.2,4,Wimco Nagar,10545,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.9862751911049338,0.25,41.2,Strong (<250m)
CMRL_03,Thiruvottriyur,13.171803,80.305226,42.0,6,Thiruvottiyur Ajax Bus Depot,10539,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.9501389854065322,0.375,44.2,Strong (<250m)
CMRL_04,Thiruvottriyur Theradi,13.165144,80.303538,85.1,8,Thiruvottiyur Market,7510,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.875260597637248,0.5,45.8,Strong (<250m)
CMRL_05,Kaladipet,13.160215,80.30244,48.4,16,Theradi,7480,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.9390201528839471,1.0,64.6,Strong (<250m)
CMRL_06,Tollgate,13.15452,80.300927,86.4,10,Thiruvottiyur Police Station,7422,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.873002084781098,0.625,49.9,Strong (<250m)
CMRL_07,New Washermanpet,13.148703,80.2994,154.9,8,Thangal,7378,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.753995830437804,0.5,41.8,Strong (<250m)
CMRL_08,Tondiarpet,13.142521,80.296063,141.0,8,Toll Gate Terminus,10931,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.7781445448227935,0.5,42.6,Strong (<250m)
CMRL_09,Sri Theagaraya College,13.135847,80.29231,119.3,10,Lakshmi Amman Kovil,7240,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.8158443363446837,0.625,48.0,Strong (<250m)
CMRL_10,Washermanpet,13.128798,80.288949,173.8,16,Apollo Or Cholera Hospital,10456,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.7211605281445448,1.0,57.4,Strong (<250m)
CMRL_11,Mannadi,13.108962,80.277531,230.2,13,Pencil Factory,6873,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6231758165392633,0.8125,47.9,Strong (<250m)
CMRL_12,High Court,13.088011,80.268435,199.5,10,Nehru Stadium Or Taluka Office,10320,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6765114662960389,0.625,43.4,Strong (<250m)
CMRL_13,Puratchi Thalaivar Dr. M.G. Ramachandran Central,13.081767,80.27391,22.9,13,Park Station,101,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.9833217512161223,0.8125,59.9,Strong (<250m)
CMRL_14,Government Estate,13.069338,80.272086,158.5,12,D1 Police Station,1091,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.7477414871438498,0.75,49.9,Strong (<250m)
CMRL_15,LIC,13.064762,80.26625,13.3,9,Lic,65,0,0,Not scheduled in sampled trips,0,Operational,0.0,1.0,0.5625,52.1,Strong (<250m)
CMRL_16,Thousand Lights,13.057176,80.26153,310.8,13,Spencer Plaza TVS,128,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.4831480194579568,0.8125,43.2,Moderate (250–500m)
CMRL_17,AG-DMS,13.0457,80.254562,200.9,4,Stella Marys College,5651,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6740792216817234,0.25,30.8,Strong (<250m)
CMRL_18,Teynampet,13.0368,80.246419,39.8,14,Teynampet Metro,152,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.953961084086171,0.875,61.0,Strong (<250m)
CMRL_19,Nandanam,13.030976,80.241073,76.4,9,Nandanam Metro,91,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.8903752605976372,0.5625,48.4,Strong (<250m)
CMRL_20,Saidapet,13.021404,80.231981,231.6,3,Todd Hunter Nagar,9163,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6207435719249478,0.1875,26.9,Strong (<250m)
CMRL_21,Little Mount,13.012085,80.223243,81.7,13,Velachery Main Road (Concord),5447,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.8811674774148713,0.8125,56.5,Strong (<250m)
CMRL_22,Guindy,13.008602,80.218687,308.1,8,M.G.R Medical University,10175,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.4878387769284224,0.5,32.9,Moderate (250–500m)
CMRL_23,Arignar Anna Alandur,13.004256,80.206136,399.2,2,Kathipara Urban Square,8991,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.3295691452397498,0.125,15.2,Moderate (250–500m)
