line,station,network_role,interchange_flag,accessibility_proxy_score,accessibility_band
Blue,Wimco Nagar Metro,Operational,0,50,Basic
Blue,Thiruvottriyur,Operational,0,50,Basic
Blue,Washermanpet Metro,Operational,0,50,Basic
Blue,Mannadi,Operational,0,50,Basic
Blue,High Court,Operational,0,50,Basic
Blue,Puratchi Thalaivar Dr. M.G.Ramachandran Central,Interchange,1,75,Interchange
Blue,Government Estate,Operational,0,50,Basic
Blue,LIC,Operational,0,50,Basic
Blue,Thousand Lights,Operational,0,50,Basic
Blue,AG-DMS,Operational,0,50,Basic
Blue,Teynampet,Operational,0,50,Basic
Blue,Nandanam,Interchange,1,75,Interchange
Blue,Saidapet Metro,Operational,0,50,Basic
Blue,Little Mount,Operational,0,50,Basic
Blue,Arignar Anna Alandur,Interchange,1,75,Interchange
Blue,OTA-Nanganallur Road,Operational,0,50,Basic
Blue,Meenambakkam,Operational,0,50,Basic
Blue,Chennai International Airport,Operational,0,50,Basic
Green,Puratchi Thalaivar Dr. M.G.Ramachandran Central,Interchange,1,75,Interchange
Green,Egmore,Interchange,1,75,Interchange
Green,Shenoy Nagar,Operational,0,60,Connected
Green,Anna Nagar Tower,Operational,0,60,Connected
Green,Thirumangalam,Operational,0,60,Connected
Green,Koyambedu,Operational,0,60,Connected
Green,CMBT,Interchange,1,85,Interchange
Green,Arumbakkam,Operational,0,60,Connected
Green,Vadapalani,Operational,0,60,Connected
Green,Ashok Nagar,Operational,0,60,Connected
Green,Ekkattuthangal,Operational,0,60,Connected
Green,St. Thomas Mount,Interchange,1,85,Interchange
